run_id,plate_id,well_id,site_id,trt,total,count
1,11,A03,4,cpd1,163,6
1,11,A03,6,cpd1,160,5
1,11,A03,2,cpd1,112,5
1,11,A03,1,cpd1,89,8
1,11,A03,7,cpd1,249,16
1,11,A03,9,cpd1,270,18
1,11,B03,6,cpd1,142,12
1,11,B03,9,cpd1,204,13
1,11,B03,4,cpd1,130,8
1,11,B03,1,cpd1,160,1
1,11,B03,8,cpd1,211,19
1,11,B03,2,cpd1,100,4
1,11,B03,3,cpd1,146,0
1,11,C03,7,cpd1,166,4
1,11,C03,3,cpd1,170,9
1,11,C03,2,cpd1,138,6
1,11,C03,5,cpd1,159,10
1,11,C03,8,cpd1,153,4
1,11,C03,9,cpd1,228,9
1,11,D03,8,cpd1,209,7
1,11,D03,5,cpd1,232,12
1,11,D03,6,cpd1,175,10
1,11,E03,9,cpd1,161,3
1,11,E03,2,cpd1,217,14
1,11,E03,4,cpd1,174,4
1,11,E03,8,cpd1,173,9
1,11,F03,2,cpd1,211,4
1,11,F03,8,cpd1,148,3
1,11,G03,7,cpd1,66,3
1,11,G03,5,cpd1,132,3
1,11,G03,3,cpd1,327,25
1,11,G03,6,cpd1,282,13
1,11,H03,2,cpd1,270,13
1,11,H03,6,cpd1,277,10
1,11,H03,9,cpd1,262,33
1,11,I03,7,cpd1,174,8
1,11,I03,8,cpd1,138,5
1,11,I03,1,cpd1,212,13
1,11,J03,7,cpd1,213,8
1,11,J03,4,cpd1,152,6
1,11,J03,9,cpd1,235,15
1,11,J03,3,cpd1,227,8
1,11,J03,1,cpd1,154,7
1,11,J03,2,cpd1,191,16
1,11,K03,4,cpd1,196,10
1,11,K03,8,cpd1,119,8
1,11,K03,2,cpd1,260,23
1,11,K03,9,cpd1,149,4
1,11,K03,5,cpd1,146,16
1,11,K03,1,cpd1,253,17
1,11,L03,7,cpd1,176,9
1,11,L03,4,cpd1,120,3
1,11,L03,1,cpd1,135,9
1,11,M03,6,cpd1,175,4
1,11,M03,4,cpd1,157,4
1,11,M03,2,cpd1,166,9
1,11,M03,3,cpd1,165,7
1,11,M03,9,cpd1,215,18
1,11,M03,1,cpd1,186,11
1,11,M03,7,cpd1,168,2
1,11,N03,6,cpd1,216,16
1,11,N03,8,cpd1,148,6
1,11,O03,2,cpd1,182,12
1,11,O03,9,cpd1,107,3
1,11,O03,7,cpd1,137,5
1,11,O03,6,cpd1,147,3
1,11,O03,4,cpd1,129,8
1,11,P03,5,cpd1,184,6
1,11,P03,3,cpd1,249,9
1,11,P03,4,cpd1,169,10
1,11,P03,6,cpd1,260,11
1,11,P03,1,cpd1,164,6
1,11,A03,3,cpd2,83,7
1,11,A03,8,cpd2,214,12
1,11,A03,5,cpd2,120,6
1,11,B03,5,cpd2,168,4
1,11,B03,7,cpd2,172,7
1,11,C03,6,cpd2,152,12
1,11,C03,1,cpd2,133,4
1,11,C03,4,cpd2,112,8
1,11,D03,7,cpd2,113,6
1,11,D03,2,cpd2,193,17
1,11,D03,1,cpd2,196,16
1,11,D03,9,cpd2,199,13
1,11,D03,3,cpd2,220,14
1,11,D03,4,cpd2,152,8
1,11,E03,3,cpd2,267,13
1,11,E03,6,cpd2,227,11
1,11,E03,5,cpd2,165,8
1,11,E03,1,cpd2,216,11
1,11,E03,7,cpd2,131,9
1,11,F03,5,cpd2,142,9
1,11,F03,6,cpd2,248,13
1,11,F03,1,cpd2,204,8
1,11,F03,3,cpd2,190,7
1,11,F03,9,cpd2,177,6
1,11,F03,7,cpd2,133,3
1,11,F03,4,cpd2,164,8
1,11,G03,2,cpd2,212,9
1,11,G03,1,cpd2,199,11
1,11,G03,9,cpd2,188,11
1,11,G03,4,cpd2,125,3
1,11,G03,8,cpd2,115,10
1,11,H03,1,cpd2,271,15
1,11,H03,5,cpd2,257,19
1,11,H03,3,cpd2,238,13
1,11,H03,4,cpd2,180,12
1,11,H03,7,cpd2,188,19
1,11,H03,8,cpd2,190,13
1,11,I03,2,cpd2,210,14
1,11,I03,4,cpd2,109,5
1,11,I03,6,cpd2,216,14
1,11,I03,9,cpd2,253,12
1,11,I03,5,cpd2,123,2
1,11,I03,3,cpd2,287,26
1,11,J03,6,cpd2,259,16
1,11,J03,5,cpd2,143,7
1,11,J03,8,cpd2,135,6
1,11,K03,7,cpd2,87,5
1,11,K03,3,cpd2,222,8
1,11,K03,6,cpd2,226,5
1,11,L03,6,cpd2,257,13
1,11,L03,3,cpd2,294,10
1,11,L03,5,cpd2,176,6
1,11,L03,2,cpd2,204,8
1,11,L03,8,cpd2,178,16
1,11,L03,9,cpd2,233,13
1,11,M03,8,cpd2,126,11
1,11,M03,5,cpd2,137,1
1,11,N03,1,cpd2,171,10
1,11,N03,9,cpd2,166,6
1,11,N03,2,cpd2,188,15
1,11,N03,3,cpd2,187,15
1,11,N03,4,cpd2,145,15
1,11,N03,7,cpd2,111,3
1,11,N03,5,cpd2,152,13
1,11,O03,8,cpd2,130,6
1,11,O03,3,cpd2,259,14
1,11,O03,1,cpd2,225,17
1,11,O03,5,cpd2,134,3
1,11,P03,7,cpd2,206,10
1,11,P03,9,cpd2,228,18
1,11,P03,2,cpd2,232,8
1,11,P03,8,cpd2,214,12
1,11,A02,9,DMSO,395,3
1,11,A02,6,DMSO,295,2
1,11,A02,5,DMSO,221,2
1,11,A02,2,DMSO,209,0
1,11,A02,1,DMSO,133,3
1,11,A02,8,DMSO,6,1
1,11,A02,3,DMSO,275,0
1,11,A02,4,DMSO,167,0
1,11,A02,7,DMSO,221,2
1,11,B02,8,DMSO,193,1
1,11,B02,5,DMSO,152,0
1,11,B02,4,DMSO,152,0
1,11,B02,7,DMSO,156,0
1,11,B02,1,DMSO,153,1
1,11,B02,9,DMSO,176,0
1,11,B02,6,DMSO,255,2
1,11,B02,2,DMSO,206,0
1,11,B02,3,DMSO,252,2
1,11,C02,5,DMSO,177,1
1,11,C02,8,DMSO,179,0
1,11,C02,9,DMSO,246,0
1,11,C02,2,DMSO,234,0
1,11,C02,6,DMSO,281,0
1,11,C02,7,DMSO,212,0
1,11,C02,3,DMSO,291,4
1,11,C02,1,DMSO,248,4
1,11,C02,4,DMSO,169,1
1,11,D02,2,DMSO,180,0
1,11,D02,4,DMSO,183,0
1,11,D02,1,DMSO,243,0
1,11,D02,6,DMSO,169,0
1,11,D02,7,DMSO,207,0
1,11,D02,8,DMSO,180,0
1,11,D02,5,DMSO,151,1
1,11,D02,9,DMSO,164,1
1,11,D02,3,DMSO,234,0
1,11,E02,5,DMSO,223,1
1,11,E02,3,DMSO,255,2
1,11,E02,9,DMSO,276,3
1,11,E02,8,DMSO,182,3
1,11,E02,2,DMSO,234,3
1,11,E02,7,DMSO,155,0
1,11,E02,6,DMSO,284,2
1,11,E02,4,DMSO,134,0
1,11,E02,1,DMSO,67,0
1,11,F02,8,DMSO,112,0
1,11,F02,4,DMSO,132,1
1,11,F02,6,DMSO,280,0
1,11,F02,9,DMSO,203,2
1,11,F02,1,DMSO,61,0
1,11,F02,2,DMSO,208,0
1,11,F02,7,DMSO,65,0
1,11,F02,5,DMSO,126,0
1,11,F02,3,DMSO,331,3
1,11,G02,6,DMSO,260,1
1,11,G02,2,DMSO,208,2
1,11,G02,9,DMSO,322,2
1,11,G02,3,DMSO,260,2
1,11,G02,4,DMSO,197,1
1,11,G02,1,DMSO,253,0
1,11,G02,8,DMSO,159,0
